"Date"	"Lineage"	"Frequency"	"% Frequency"
2024-10-07	"KP.3.1.1"	871	"40%"
2024-10-07	"KP.3.3.2"	35	"2%"
2024-10-07	"LP.8.1"	5	"0%"
2024-10-07	"LP.8.1.1"	0	"0%"
2024-10-07	"MC.1"	71	"3%"
2024-10-07	"MC.1.2"	3	"0%"
2024-10-07	"MC.1.3"	67	"3%"
2024-10-07	"MC.10"	48	"2%"
2024-10-07	"MC.10.1"	17	"1%"
2024-10-07	"MC.10.2"	0	"0%"
2024-10-07	"MC.11"	24	"1%"
2024-10-07	"MC.13"	56	"3%"
2024-10-07	"MC.16"	36	"2%"
2024-10-07	"MC.19"	10	"0%"
2024-10-07	"MC.24"	69	"3%"
2024-10-07	"MC.6"	26	"1%"
2024-10-07	"MC.8.1"	8	"0%"
2024-10-07	"MC.9"	28	"1%"
2024-10-07	"NP.1"	5	"0%"
2024-10-07	"other lineages"	503	"23%"
2024-10-07	"XEC"	237	"11%"
2024-10-07	"XEC.14"	9	"0%"
2024-10-07	"XEC.2"	1	"0%"
2024-10-07	"XEC.4"	0	"0%"
2024-10-07	"XEC.8"	15	"1%"
2024-10-07	"XEC.9"	8	"0%"
2024-10-14	"KP.3.1.1"	700	"35%"
2024-10-14	"KP.3.3.2"	52	"3%"
2024-10-14	"LP.8.1"	5	"0%"
2024-10-14	"LP.8.1.1"	0	"0%"
2024-10-14	"MC.1"	95	"5%"
2024-10-14	"MC.1.2"	9	"0%"
2024-10-14	"MC.1.3"	74	"4%"
2024-10-14	"MC.10"	36	"2%"
2024-10-14	"MC.10.1"	7	"0%"
2024-10-14	"MC.10.2"	2	"0%"
2024-10-14	"MC.11"	19	"1%"
2024-10-14	"MC.13"	45	"2%"
2024-10-14	"MC.16"	45	"2%"
2024-10-14	"MC.19"	7	"0%"
2024-10-14	"MC.24"	60	"3%"
2024-10-14	"MC.6"	28	"1%"
2024-10-14	"MC.8.1"	11	"1%"
2024-10-14	"MC.9"	28	"1%"
2024-10-14	"NP.1"	7	"0%"
2024-10-14	"other lineages"	467	"23%"
2024-10-14	"XEC"	269	"13%"
2024-10-14	"XEC.14"	7	"0%"
2024-10-14	"XEC.2"	2	"0%"
2024-10-14	"XEC.4"	0	"0%"
2024-10-14	"XEC.8"	32	"2%"
2024-10-14	"XEC.9"	10	"0%"
2024-10-21	"KP.3.1.1"	613	"32%"
2024-10-21	"KP.3.3.2"	13	"1%"
2024-10-21	"LP.8.1"	8	"0%"
2024-10-21	"LP.8.1.1"	1	"0%"
2024-10-21	"MC.1"	104	"5%"
2024-10-21	"MC.1.2"	11	"1%"
2024-10-21	"MC.1.3"	112	"6%"
2024-10-21	"MC.10"	37	"2%"
2024-10-21	"MC.10.1"	25	"1%"
2024-10-21	"MC.10.2"	20	"1%"
2024-10-21	"MC.11"	29	"1%"
2024-10-21	"MC.13"	41	"2%"
2024-10-21	"MC.16"	38	"2%"
2024-10-21	"MC.19"	7	"0%"
2024-10-21	"MC.24"	41	"2%"
2024-10-21	"MC.6"	37	"2%"
2024-10-21	"MC.8.1"	15	"1%"
2024-10-21	"MC.9"	38	"2%"
2024-10-21	"NP.1"	15	"1%"
2024-10-21	"other lineages"	377	"19%"
2024-10-21	"XEC"	264	"14%"
2024-10-21	"XEC.14"	10	"1%"
2024-10-21	"XEC.2"	4	"0%"
2024-10-21	"XEC.4"	6	"0%"
2024-10-21	"XEC.8"	44	"2%"
