pruid,prname,prnameFR,date,reporting_week,reporting_year,update,totalcases,numtotal_last7,ratecases_total,numdeaths,numdeaths_last7,ratedeaths,ratecases_last7,ratedeaths_last7,numtotal_last14,numdeaths_last14,ratetotal_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
47,Saskatchewan,Saskatchewan,2023-09-16,37,2023,1.0,156853,123,12972.63,2007,2,165.99,10.17,0.17,219.0,2,18.11,0.17,17.57,1.45,0.29,0.02
46,Manitoba,Manitoba,2023-09-16,37,2023,1.0,157107,114,10798.46,2509,0,172.45,7.84,0.00,251.0,0,17.25,0,16.29,1.12,0.00,0.00
35,Ontario,Ontario,2023-09-16,37,2023,1.0,1638233,2274,10495.86,17428,27,111.66,14.57,0.17,4108.0,50,26.32,0.32,324.86,2.08,3.86,0.02
24,Quebec,Québec,2023-09-16,37,2023,1.0,1367502,3381,15409.02,18565,50,209.19,38.10,0.56,6259.0,97,70.53,1.09,483.00,5.44,7.14,0.08
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2023-09-16,37,2023,1.0,56105,61,10416.72,363,2,67.4,11.33,0.37,122.0,3,22.65,0.56,8.71,1.62,0.29,0.05
13,New Brunswick,Nouveau-Brunswick,2023-09-16,37,2023,1.0,91761,103,10993.41,939,0,112.5,12.34,0.00,187.0,4,22.4,0.48,14.71,1.76,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2023-09-16,37,2023,0.0,144946,,13691.02,870,,82.18,,,,,,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2023-09-16,37,2023,0.0,57415,,33037.57,109,,62.72,,,,,,,,,,
60,Yukon,Yukon,2023-09-16,37,2023,0.0,4989,,11092.83,32,,71.15,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2023-09-16,37,2023,0.0,11511,,25595.93,22,,48.92,,,,,,,,,,
62,Nunavut,Nunavut,2023-09-16,37,2023,0.0,3531,,8681.43,7,,17.21,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2023-09-16,37,2023,,13,0,,0,0,,,,0.0,0,,,0.00,,0.00,
1,Canada,Canada,2023-09-16,37,2023,,4732269,7186,11801.83,54679,125,136.36,17.92,0.31,13081.0,243,32.62,0.61,1026.57,2.56,17.86,0.04
59,British Columbia,Colombie-Britannique,2023-09-23,38,2023,1.0,406735,748,7369.71,5973,30,108.23,13.55,0.54,1387.0,63,25.13,1.14,106.86,1.94,4.29,0.08
48,Alberta,Alberta,2023-09-23,38,2023,1.0,636907,591,13564.81,5906,21,125.79,12.59,0.45,1082.0,32,23.04,0.68,84.43,1.80,3.00,0.06
47,Saskatchewan,Saskatchewan,2023-09-23,38,2023,1.0,157012,159,12985.78,2007,0,165.99,13.15,0.00,282.0,2,23.32,0.17,22.71,1.88,0.00,0.00
46,Manitoba,Manitoba,2023-09-23,38,2023,1.0,157311,204,10812.48,2511,2,172.59,14.02,0.14,318.0,2,21.86,0.14,29.14,2.00,0.29,0.02
35,Ontario,Ontario,2023-09-23,38,2023,1.0,1640992,2759,10513.54,17460,32,111.86,17.68,0.21,5033.0,59,32.25,0.38,394.14,2.53,4.57,0.03
24,Quebec,Québec,2023-09-23,38,2023,1.0,1371770,4268,15457.12,18609,44,209.69,48.09,0.50,7649.0,94,86.19,1.06,609.71,6.87,6.29,0.07
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2023-09-23,38,2023,1.0,56162,57,10427.31,364,1,67.58,10.58,0.19,118.0,3,21.91,0.56,8.14,1.51,0.14,0.03
13,New Brunswick,Nouveau-Brunswick,2023-09-23,38,2023,1.0,91863,102,11005.63,941,2,112.74,12.22,0.24,205.0,2,24.56,0.24,14.57,1.75,0.29,0.03
12,Nova Scotia,Nouvelle-Écosse,2023-09-23,38,2023,0.0,144946,,13691.02,870,,82.18,,,,,,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2023-09-23,38,2023,1.0,57495,,33083.6,110,,63.3,,,,,,,,,,
60,Yukon,Yukon,2023-09-23,38,2023,0.0,4989,,11092.83,32,,71.15,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2023-09-23,38,2023,0.0,11511,,25595.93,22,,48.92,,,,,,,,,,
62,Nunavut,Nunavut,2023-09-23,38,2023,0.0,3531,,8681.43,7,,17.21,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2023-09-23,38,2023,,13,0,,0,0,,,,0.0,0,,,0.00,,0.00,
1,Canada,Canada,2023-09-23,38,2023,,4741237,8888,11824.19,54812,132,136.7,22.17,0.33,16074.0,257,40.09,0.64,1269.71,3.17,18.86,0.05
59,British Columbia,Colombie-Britannique,2023-09-30,39,2023,1.0,407621,886,7385.76,6014,41,108.97,16.05,0.74,1634.0,71,29.61,1.29,126.57,2.29,5.86,0.11
48,Alberta,Alberta,2023-09-30,39,2023,1.0,637634,727,13580.29,5932,26,126.34,15.48,0.55,1318.0,47,28.07,1,103.86,2.21,3.71,0.08
47,Saskatchewan,Saskatchewan,2023-09-30,39,2023,1.0,157241,229,13004.72,2008,1,166.07,18.94,0.08,388.0,1,32.09,0.08,32.71,2.71,0.14,0.01
46,Manitoba,Manitoba,2023-09-30,39,2023,1.0,157538,227,10828.08,2511,0,172.59,15.60,0.00,431.0,2,29.62,0.14,32.43,2.23,0.00,0.00
35,Ontario,Ontario,2023-09-30,39,2023,1.0,1644219,3227,10534.21,17500,40,112.12,20.67,0.26,5986.0,72,38.35,0.46,461.00,2.95,5.71,0.04
24,Quebec,Québec,2023-09-30,39,2023,1.0,1376694,4924,15512.6,18667,58,210.34,55.48,0.65,9192.0,102,103.58,1.15,703.43,7.93,8.29,0.09
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2023-09-30,39,2023,1.0,56231,69,10440.12,366,2,67.95,12.81,0.37,126.0,3,23.39,0.56,9.86,1.83,0.29,0.05
13,New Brunswick,Nouveau-Brunswick,2023-09-30,39,2023,1.0,91968,105,11018.21,944,3,113.1,12.58,0.36,207.0,5,24.8,0.6,15.00,1.80,0.43,0.05
12,Nova Scotia,Nouvelle-Écosse,2023-09-30,39,2023,1.0,146422,,13830.44,877,,82.84,,,,,,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2023-09-30,39,2023,0.0,57495,,33083.6,110,,63.3,,,,,,,,,,
60,Yukon,Yukon,2023-09-30,39,2023,0.0,4989,,11092.83,32,,71.15,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2023-09-30,39,2023,0.0,11511,,25595.93,22,,48.92,,,,,,,,,,
62,Nunavut,Nunavut,2023-09-30,39,2023,0.0,3531,,8681.43,7,,17.21,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2023-09-30,39,2023,,13,0,,0,0,,,,0.0,0,,,0.00,,0.00,
1,Canada,Canada,2023-09-30,39,2023,,4753107,10394,11853.8,54990,171,137.14,25.92,0.43,19282.0,303,48.09,0.76,1484.86,3.70,24.43,0.06
59,British Columbia,Colombie-Britannique,2023-10-07,40,2023,1.0,408442,821,7400.63,6069,55,109.97,14.88,1.00,1707.0,96,30.93,1.74,117.29,2.13,7.86,0.14
48,Alberta,Alberta,2023-10-07,40,2023,1.0,638492,858,13598.56,5967,35,127.08,18.27,0.75,1585.0,61,33.76,1.3,122.57,2.61,5.00,0.11
47,Saskatchewan,Saskatchewan,2023-10-07,40,2023,1.0,157511,270,13027.05,2011,3,166.32,22.33,0.25,499.0,4,41.27,0.33,38.57,3.19,0.43,0.04
46,Manitoba,Manitoba,2023-10-07,40,2023,1.0,157703,165,10839.42,2516,5,172.93,11.34,0.34,392.0,5,26.94,0.34,23.57,1.62,0.71,0.05
35,Ontario,Ontario,2023-10-07,40,2023,1.0,1647276,3057,10553.8,17532,32,112.32,19.59,0.21,6284.0,72,40.26,0.46,436.71,2.80,4.57,0.03
24,Quebec,Québec,2023-10-07,40,2023,1.0,1381893,5199,15571.18,18738,71,211.14,58.58,0.80,10123.0,129,114.07,1.45,742.71,8.37,10.14,0.11
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2023-10-07,40,2023,1.0,56317,86,10456.09,367,1,68.14,15.97,0.19,155.0,3,28.78,0.56,12.29,2.28,0.14,0.03
13,New Brunswick,Nouveau-Brunswick,2023-10-07,40,2023,1.0,92101,133,11034.14,946,2,113.34,15.93,0.24,238.0,5,28.51,0.6,19.00,2.28,0.29,0.03
12,Nova Scotia,Nouvelle-Écosse,2023-10-07,40,2023,0.0,146422,,13830.44,877,,82.84,,,,,,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2023-10-07,40,2023,1.0,57566,,33124.46,110,,63.3,,,71.0,0,40.85,0,,,,
60,Yukon,Yukon,2023-10-07,40,2023,0.0,4989,,11092.83,32,,71.15,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2023-10-07,40,2023,0.0,11511,,25595.93,22,,48.92,,,,,,,,,,
62,Nunavut,Nunavut,2023-10-07,40,2023,0.0,3531,,8681.43,7,,17.21,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2023-10-07,40,2023,,13,0,,0,0,,,,0.0,0,,,0.00,,0.00,
1,Canada,Canada,2023-10-07,40,2023,,4763767,10589,11880.38,55194,204,137.65,26.41,0.51,21054.0,375,52.51,0.94,1512.71,3.77,29.14,0.07
59,British Columbia,Colombie-Britannique,2023-10-14,41,2023,1.0,409181,739,7414.02,6134,65,111.14,13.39,1.18,1560.0,120,28.27,2.17,105.57,1.91,9.29,0.17
48,Alberta,Alberta,2023-10-14,41,2023,1.0,639441,949,13618.78,5997,30,127.72,20.21,0.64,1807.0,65,38.49,1.38,135.57,2.89,4.29,0.09
47,Saskatchewan,Saskatchewan,2023-10-14,41,2023,1.0,157856,345,13055.59,2014,3,166.57,28.53,0.25,615.0,6,50.86,0.5,49.29,4.08,0.43,0.04
46,Manitoba,Manitoba,2023-10-14,41,2023,1.0,157852,149,10849.67,2518,2,173.07,10.24,0.14,314.0,7,21.58,0.48,21.29,1.46,0.29,0.02
35,Ontario,Ontario,2023-10-14,41,2023,1.0,1649789,2513,10569.9,17576,44,112.61,16.10,0.28,5570.0,76,35.69,0.49,359.00,2.30,6.29,0.04
24,Quebec,Québec,2023-10-14,41,2023,1.0,1385413,3520,15610.84,18812,74,211.97,39.66,0.83,8719.0,145,98.25,1.63,502.86,5.67,10.57,0.12
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2023-10-14,41,2023,1.0,56417,100,10474.65,368,1,68.32,18.57,0.19,186.0,2,34.53,0.37,14.29,2.65,0.14,0.03
13,New Brunswick,Nouveau-Brunswick,2023-10-14,41,2023,1.0,92255,154,11052.59,949,3,113.69,18.45,0.36,287.0,5,34.38,0.6,22.00,2.64,0.43,0.05
12,Nova Scotia,Nouvelle-Écosse,2023-10-14,41,2023,1.0,147358,,13918.85,879,,83.03,,,936.0,2,88.41,0.19,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2023-10-14,41,2023,0.0,57566,,33124.46,110,,63.3,,,,,,,,,,
60,Yukon,Yukon,2023-10-14,41,2023,0.0,4989,,11092.83,32,,71.15,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2023-10-14,41,2023,0.0,11511,,25595.93,22,,48.92,,,,,,,,,,
62,Nunavut,Nunavut,2023-10-14,41,2023,0.0,3531,,8681.43,7,,17.21,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2023-10-14,41,2023,,13,0,,0,0,,,,0.0,0,,,0.00,,0.00,
1,Canada,Canada,2023-10-14,41,2023,,4773172,8469,11903.84,55418,222,138.21,21.12,0.55,19994.0,428,49.86,1.07,1209.86,3.02,31.71,0.08
59,British Columbia,Colombie-Britannique,2023-10-21,42,2023,1.0,409754,573,7424.41,6204,70,112.41,10.38,1.27,1312.0,135,23.77,2.45,81.86,1.48,10.00,0.18
48,Alberta,Alberta,2023-10-21,42,2023,1.0,640368,927,13638.52,6029,32,128.41,19.74,0.68,1876.0,62,39.95,1.32,132.43,2.82,4.57,0.10
47,Saskatchewan,Saskatchewan,2023-10-21,42,2023,1.0,158246,390,13087.84,2015,1,166.65,32.26,0.08,735.0,4,60.79,0.33,55.71,4.61,0.14,0.01
46,Manitoba,Manitoba,2023-10-21,42,2023,1.0,158053,201,10863.48,2518,0,173.07,13.82,0.00,350.0,2,24.06,0.14,28.71,1.97,0.00,0.00
35,Ontario,Ontario,2023-10-21,42,2023,1.0,1652737,2948,10588.79,17614,38,112.85,18.89,0.24,5461.0,82,34.99,0.53,421.14,2.70,5.43,0.03
24,Quebec,Québec,2023-10-21,42,2023,1.0,1388966,3553,15650.88,18880,68,212.74,40.04,0.77,7073.0,142,79.7,1.6,507.57,5.72,9.71,0.11
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2023-10-21,42,2023,1.0,56502,85,10490.43,369,1,68.51,15.78,0.19,185.0,2,34.35,0.37,12.14,2.25,0.14,0.03
13,New Brunswick,Nouveau-Brunswick,2023-10-21,42,2023,1.0,92392,137,11069.01,953,4,114.17,16.41,0.48,291.0,7,34.86,0.84,19.57,2.34,0.57,0.07
12,Nova Scotia,Nouvelle-Écosse,2023-10-21,42,2023,0.0,147358,,13918.85,879,,83.03,,,,,,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2023-10-21,42,2023,1.0,57679,,33189.48,111,,63.87,,,113.0,1,65.02,0.58,,,,
60,Yukon,Yukon,2023-10-21,42,2023,0.0,4989,,11092.83,32,,71.15,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2023-10-21,42,2023,0.0,11511,,25595.93,22,,48.92,,,,,,,,,,
62,Nunavut,Nunavut,2023-10-21,42,2023,0.0,3531,,8681.43,7,,17.21,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2023-10-21,42,2023,,13,0,,0,0,,,,0.0,0,,,0.00,,0.00,
1,Canada,Canada,2023-10-21,42,2023,,4782099,8814,11926.1,55633,214,138.74,21.98,0.53,17396.0,437,43.38,1.09,1259.14,3.14,30.57,0.08
59,British Columbia,Colombie-Britannique,2023-10-28,43,2023,1.0,410214,460,7432.74,6255,51,113.34,8.33,0.92,1033.0,121,18.72,2.19,65.71,1.19,7.29,0.13
48,Alberta,Alberta,2023-10-28,43,2023,1.0,641194,826,13656.11,6065,36,129.17,17.59,0.77,1753.0,68,37.34,1.45,118.00,2.51,5.14,0.11
47,Saskatchewan,Saskatchewan,2023-10-28,43,2023,1.0,158642,396,13120.59,2016,1,166.73,32.75,0.08,786.0,2,65.01,0.17,56.57,4.68,0.14,0.01
46,Manitoba,Manitoba,2023-10-28,43,2023,1.0,158227,174,10875.44,2527,9,173.69,11.96,0.62,375.0,9,25.77,0.62,24.86,1.71,1.29,0.09
35,Ontario,Ontario,2023-10-28,43,2023,1.0,1656162,3425,10610.73,17671,57,113.21,21.94,0.37,6373.0,95,40.83,0.61,489.29,3.13,8.14,0.05
24,Quebec,Québec,2023-10-28,43,2023,1.0,1392433,3467,15689.95,18951,71,213.54,39.07,0.80,7020.0,139,79.1,1.57,495.29,5.58,10.14,0.11
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2023-10-28,43,2023,1.0,56577,75,10504.36,370,1,68.7,13.92,0.19,160.0,2,29.71,0.37,10.71,1.99,0.14,0.03
13,New Brunswick,Nouveau-Brunswick,2023-10-28,43,2023,1.0,92520,128,11084.34,956,3,114.53,15.34,0.36,265.0,7,31.75,0.84,18.29,2.19,0.43,0.05
12,Nova Scotia,Nouvelle-Écosse,2023-10-28,43,2023,1.0,147953,,13975.05,882,,83.31,,,595.0,3,56.2,0.28,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2023-10-28,43,2023,0.0,57679,,33189.48,111,,63.87,,,,,,,,,,
60,Yukon,Yukon,2023-10-28,43,2023,0.0,4989,,11092.83,32,,71.15,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2023-10-28,43,2023,0.0,11511,,25595.93,22,,48.92,,,,,,,,,,
62,Nunavut,Nunavut,2023-10-28,43,2023,0.0,3531,,8681.43,7,,17.21,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2023-10-28,43,2023,,13,0,,0,0,,,,0.0,0,,,0.00,,0.00,
1,Canada,Canada,2023-10-28,43,2023,,4791645,8951,11949.91,55865,229,139.32,22.32,0.57,18360.0,446,45.79,1.11,1278.71,3.19,32.71,0.08
59,British Columbia,Colombie-Britannique,2023-11-04,44,2023,1.0,410754,540,7442.53,6302,47,114.19,9.78,0.85,1000.0,98,18.12,1.78,77.14,1.40,6.71,0.12
